"","indicator_ru","region","variable","value","indicator_en","unit","class"
"216","Денежные доходы (в среднем на душу)","Тульская область",1997,710.3,"Cash income (average per capita)","roubles","Living Standards"
"217","Денежные доходы (в среднем на душу)","Ярославская область",1997,729.6,"Cash income (average per capita)","roubles","Living Standards"
"218","Денежные доходы (в среднем на душу)","г.Москва",1997,3200.3,"Cash income (average per capita)","roubles","Living Standards"
"219","Денежные доходы (в среднем на душу)","Северо-Западный федеральный округ",1997,917.7,"Cash income (average per capita)","roubles","Living Standards"
"220","Денежные доходы (в среднем на душу)","Республика Карелия",1997,1057.5,"Cash income (average per capita)","roubles","Living Standards"
"221","Денежные доходы (в среднем на душу)","Республика Коми",1997,1330,"Cash income (average per capita)","roubles","Living Standards"
"222","Денежные доходы (в среднем на душу)","Архангельская область",1997,822.8,"Cash income (average per capita)","roubles","Living Standards"
"223","Денежные доходы (в среднем на душу)","Ненецкий автономный округ",1997,1177.7,"Cash income (average per capita)","roubles","Living Standards"
"224","Денежные доходы (в среднем на душу)","Вологодская область",1997,890.7,"Cash income (average per capita)","roubles","Living Standards"
"225","Денежные доходы (в среднем на душу)","Калининградская область",1997,589,"Cash income (average per capita)","roubles","Living Standards"
"226","Денежные доходы (в среднем на душу)","Ленинградская область",1997,597.5,"Cash income (average per capita)","roubles","Living Standards"
"227","Денежные доходы (в среднем на душу)","Мурманская область",1997,1332.3,"Cash income (average per capita)","roubles","Living Standards"
"228","Денежные доходы (в среднем на душу)","Новгородская область",1997,765.2,"Cash income (average per capita)","roubles","Living Standards"
"229","Денежные доходы (в среднем на душу)","Псковская область",1997,563.1,"Cash income (average per capita)","roubles","Living Standards"
"230","Денежные доходы (в среднем на душу)","г.Санкт-Петербург",1997,1015.1,"Cash income (average per capita)","roubles","Living Standards"
"231","Денежные доходы (в среднем на душу)","Южный федеральный округ (по 2009 год)",1997,589.9,"Cash income (average per capita)","roubles","Living Standards"
"233","Денежные доходы (в среднем на душу)","Республика Адыгея",1997,546,"Cash income (average per capita)","roubles","Living Standards"
"234","Денежные доходы (в среднем на душу)","Республика Калмыкия",1997,482.9,"Cash income (average per capita)","roubles","Living Standards"
"235","Денежные доходы (в среднем на душу)","Краснодарский край",1997,670,"Cash income (average per capita)","roubles","Living Standards"
"236","Денежные доходы (в среднем на душу)","Астраханская область",1997,664.3,"Cash income (average per capita)","roubles","Living Standards"
"237","Денежные доходы (в среднем на душу)","Волгоградская область",1997,660.4,"Cash income (average per capita)","roubles","Living Standards"
"238","Денежные доходы (в среднем на душу)","Ростовская область",1997,643.8,"Cash income (average per capita)","roubles","Living Standards"
"240","Денежные доходы (в среднем на душу)","Республика Дагестан",1997,337.1,"Cash income (average per capita)","roubles","Living Standards"
"241","Денежные доходы (в среднем на душу)","Республика Ингушетия",1997,307.7,"Cash income (average per capita)","roubles","Living Standards"
"242","Денежные доходы (в среднем на душу)","Кабардино-Балкарская Республика",1997,443.8,"Cash income (average per capita)","roubles","Living Standards"
"243","Денежные доходы (в среднем на душу)","Карачаево-Черкесская Республика",1997,434.8,"Cash income (average per capita)","roubles","Living Standards"
"244","Денежные доходы (в среднем на душу)","Республика Северная Осетия - Алания",1997,561,"Cash income (average per capita)","roubles","Living Standards"
"246","Денежные доходы (в среднем на душу)","Ставропольский край",1997,594.1,"Cash income (average per capita)","roubles","Living Standards"
"247","Денежные доходы (в среднем на душу)","Приволжский федеральный округ",1997,692.9,"Cash income (average per capita)","roubles","Living Standards"
"248","Денежные доходы (в среднем на душу)","Республика Башкортостан",1997,626.8,"Cash income (average per capita)","roubles","Living Standards"
"249","Денежные доходы (в среднем на душу)","Республика Марий Эл",1997,443.9,"Cash income (average per capita)","roubles","Living Standards"
"250","Денежные доходы (в среднем на душу)","Республика Мордовия",1997,517.4,"Cash income (average per capita)","roubles","Living Standards"
"251","Денежные доходы (в среднем на душу)","Республика Татарстан",1997,689.8,"Cash income (average per capita)","roubles","Living Standards"
"252","Денежные доходы (в среднем на душу)","Удмуртская Республика",1997,721,"Cash income (average per capita)","roubles","Living Standards"
"253","Денежные доходы (в среднем на душу)","Чувашская Республика",1997,486.4,"Cash income (average per capita)","roubles","Living Standards"
"254","Денежные доходы (в среднем на душу)","Пермский край",1997,977.8,"Cash income (average per capita)","roubles","Living Standards"
"255","Денежные доходы (в среднем на душу)","Коми-Пермяцкий авт.округ",1997,399.4,"Cash income (average per capita)","roubles","Living Standards"
"256","Денежные доходы (в среднем на душу)","Кировская область",1997,630,"Cash income (average per capita)","roubles","Living Standards"
"257","Денежные доходы (в среднем на душу)","Нижегородская область",1997,657.3,"Cash income (average per capita)","roubles","Living Standards"
"258","Денежные доходы (в среднем на душу)","Оренбургская область",1997,674.1,"Cash income (average per capita)","roubles","Living Standards"
"259","Денежные доходы (в среднем на душу)","Пензенская область",1997,569.6,"Cash income (average per capita)","roubles","Living Standards"
"260","Денежные доходы (в среднем на душу)","Самарская область",1997,929.7,"Cash income (average per capita)","roubles","Living Standards"
"261","Денежные доходы (в среднем на душу)","Саратовская область",1997,620.5,"Cash income (average per capita)","roubles","Living Standards"
"262","Денежные доходы (в среднем на душу)","Ульяновская область",1997,638.4,"Cash income (average per capita)","roubles","Living Standards"
"263","Денежные доходы (в среднем на душу)","Уральский федеральный округ",1997,1136.4,"Cash income (average per capita)","roubles","Living Standards"
"264","Денежные доходы (в среднем на душу)","Курганская область",1997,534.6,"Cash income (average per capita)","roubles","Living Standards"
"265","Денежные доходы (в среднем на душу)","Свердловская область",1997,851.9,"Cash income (average per capita)","roubles","Living Standards"
"266","Денежные доходы (в среднем на душу)","Тюменская область",1997,2207,"Cash income (average per capita)","roubles","Living Standards"
