Реальный размер назначенных пенсий,            Усть-Ордынский Бурятский авт.округ,121.40,,,,,
Реальный размер назначенных пенсий,        Кемеровская область,117.40,109.90,112.10,104.10,102.30,103.40
Реальный размер назначенных пенсий,        Новосибирская область,115.40,107.60,115.20,104.10,105.10,103.70
Реальный размер назначенных пенсий,        Омская область,115.90,108.90,113.20,105.40,101.90,103.80
Реальный размер назначенных пенсий,        Томская область,116.10,110.50,112.60,104.10,102.80,103.20
Реальный размер назначенных пенсий,    Дальневосточный федеральный округ,118.20,108.70,112.30,103.50,104.50,103.20
Реальный размер назначенных пенсий,        Республика Саха (Якутия),119.70,108.90,112.00,103.40,104.80,103.90
Реальный размер назначенных пенсий,        Камчатский край,115.60,109.60,110.40,103.20,105.00,103.30
Реальный размер назначенных пенсий,        Приморский край,117.60,109.80,114.30,103.80,104.40,103.60
Реальный размер назначенных пенсий,        Хабаровский край,118.80,107.90,111.50,103.00,104.80,103.40
Реальный размер назначенных пенсий,        Амурская область,118.80,107.70,110.30,103.70,103.00,102.00
Реальный размер назначенных пенсий,        Магаданская область,113.00,99.30,109.50,102.70,101.60,101.10
Реальный размер назначенных пенсий,        Сахалинская область,115.40,109.30,109.30,104.30,105.20,103.10
Реальный размер назначенных пенсий,        Еврейская автономная область,117.00,106.70,111.20,102.50,103.60,101.50
Реальный размер назначенных пенсий,        Чукотский автономный округ,120.60,107.90,115.70,105.50,104.30,103.90
