Объем валового регионального продукта в расчете на одного жителя субъекта Российской Федерации;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
        Чувашская Республика;        рубль;7326,2;7897;8328,9;12407,3;17276,5;23253,6;28261,3;34540,2;45955,1;54001,9;73147,3;97528,7;122980,3;111300,3;125843;151177,9;174293,5
        Пермский край;        рубль;13694,7;15677,7;17955,2;30241,6;43273,2;58570,7;63032,2;74783,8;96240,2;119654;141864,8;178096,8;227719;203364,2;235930,6;319149,5;340933,2
        Кировская область;        рубль;8793,4;9882,8;9978,7;16164,9;23165,6;27297,1;33124;38900,6;48464,8;55726,6;68958,3;85144,4;110127,9;107680,4;128073,7;146451,8;160461,8
        Нижегородская область;        рубль;9774,8;12205,3;12936,8;19806,2;29090,1;41773,2;48321,6;59149,2;69629,5;87354,7;110662,7;140297,9;175587,1;164071,8;196792,5;233405,3;254630,6
        Оренбургская область;        рубль;10648,6;12428;12296,5;23293,9;34585,2;38769,3;43145,6;53548,8;79522,8;101110,3;145532,5;179882,4;209769,6;202332,4;224937,2;272897,1;311588,5
        Пензенская область;        рубль;6995,7;7209,2;6940,6;11825,9;16900,3;22547,8;28554,2;33304,2;41595,8;52163,8;62719,8;84558,3;105477,2;105487,4;124020,7;154608,1;175094,9
        Самарская область;        рубль;15758;18514,7;20439,5;32022,5;42758,9;55147;63582,9;79369,1;101362,5;124575,2;151238,8;181529,8;217089,9;181298,2;216167,6;259480,6;293001,2
        Саратовская область;        рубль;8580,5;10450,4;10186,4;16130,7;23315,4;31094,4;36413,6;45223;57710,3;65656,6;79127;98569,9;126085,9;128473,8;148839;171449,8;190481,6
        Ульяновская область;        рубль;9311,9;10148,4;10233,6;16310,6;21411,5;27453,2;32922,8;40195,3;49606,5;59804,8;76474,6;94375,6;114808;118179,9;137518,4;173890,3;191059,6
    Уральский федеральный округ;        рубль;;;25102,2;41649,9;69327,3;90065,5;107831,3;134653,5;182505,2;254078,4;307373,9;350766,8;398807,4;360909,4;423495,4;521192,2;582666,7
        Курганская область;        рубль;7357,7;7940,3;8833;13882,1;17758,7;24429,3;29253,3;36759;42889,3;51724;71738,6;86224,4;114237,4;117058,7;129013,4;151046,4;162559,5
        Свердловская область;        рубль;13311,3;14591,8;15825,7;24476,2;34214,7;44119;52241,3;63865,6;82546,5;108697,2;150548,6;189763,4;213922,3;191415;243234,2;300068,8;344282,6
        Тюменская область;        рубль;49237,2;55035,5;58587,7;98130,1;176917,9;232236,3;275622,5;341146,7;467803,8;673208,3;773076,2;831305,3;934229,6;852920;973332,6;1198186;1325288,4
            Ханты-Мансийский автономный округ-Югра;        рубль;;;;;;;;;;;;;;;;1575300;1707991,7
            Ямало-Ненецкий автономный округ;        рубль;;;;;;;;;;;;;;;;1820301,3;2211580
            Тюменская область (без АО);        рубль;;;;;;;;;;;;;;;;522064,8;539134,3
        Челябинская область;        рубль;12426,6;13096,6;12152,2;21580,9;33012,3;39216,5;47775,7;61444,7;81894,8;99159,8;127442,5;164797,5;190565,5;159901;187673,7;222664,2;242150,5
    Сибирский федеральный округ;        рубль;;;14627,1;22759,6;33682,1;41674,5;49329,1;60661,4;82567,8;99628,4;125748,5;154701,9;178421,2;175845,6;214401,6;249420,1;267126
        Республика Алтай;        рубль;6277,4;6522,5;7596,2;10817,6;13505,1;22164,4;26160,6;34042,3;42067,6;43592,3;57555,4;74633,6;91713,1;97112,1;108729,5;127150,1;141442,4
        Республика Бурятия;        рубль;9230,7;10642;10953,8;16039,5;21555,1;30314,6;38524;53479,2;65707,2;77313,2;94965,1;111354;129145,4;125172,5;137564,9;158136,6;171920,4
        Республика Тыва;        рубль;5099,6;5925,8;6404,6;8908,8;11749,3;17012,1;22421;26607,4;32309;38429,7;50051,7;63959,4;78381;87889,5;99999,9;108178;121498,9
        Республика Хакасия;        рубль;10787;13774,9;14496,9;23582,9;31333,2;36306,2;46443,7;53320,2;61336,4;77864,6;100828,4;119953,2;136023,7;152205,1;180352,1;212487,7;245382,3
        Алтайский край;        рубль;7605,8;7431;8012,4;12204,8;17660,5;23509;27991,2;34295,8;44934,9;53812,4;69852;90759,9;106019,5;109088,7;124955,8;137677,2;154205,7
        Забайкальский край;        рубль;9220,2;10263,3;10602,1;17321,4;25320,1;29979,7;38443,3;46308,5;53845,5;61741;81066,2;99544,9;126362,1;133973,5;150548,9;184869,1;205511,4
        Красноярский край;        рубль;17517,4;19933,1;22937,6;41021,4;71281;80038,8;77729;92547,5;125287,8;152389;205042,4;258394,3;260318,2;264478,7;372848,1;413172,4;419586,9
        Иркутская область;        рубль;15518,2;18708,6;18834,6;29255;39115,2;46044,3;54156,9;65468,6;84014,3;102904,3;133413,7;163588;178988,3;187688,7;224364,2;261550,4;306935,9
        Кемеровская область;        рубль;15627;14310,1;14326,3;21682,1;30047,8;38839,7;46860,1;57302,3;85850,4;104764,5;122394,2;157302,2;207286,2;184674,1;226198,1;272564,2;261301,2
        Новосибирская область;        рубль;11115,4;12562,7;12586,1;19322,5;26472,3;35177,3;45659,6;57360,1;71843,4;88475,5;111679,3;138199,1;171430,3;160210,4;181732,7;223623;244441,8
        Омская область;        рубль;12060,1;13008,3;12458,3;15727,1;21643,1;29219,2;44424,1;55729,2;94389,6;108970,6;130614,3;148129,3;174709,8;169327,8;193216;228486,6;252493
        Томская область;        рубль;15713,5;17516,7;19078,5;25149,2;38386;54221,6;72107,4;93193,8;128090,8;155365,2;184433,6;209319,9;241911,3;237293,3;272576,5;317037,4;352660,4
    Дальневосточный федеральный округ;        рубль;;;20356,7;33703,8;44932,3;57716,4;70194,8;84451,1;103218,5;127161,3;155389,4;200069,1;241573,6;273411,3;334909,9;403572,5;431452,7
        Республика Саха (Якутия);        рубль;27259,7;30625,2;34109,9;64704,9;85375,5;105733,3;121163,1;140065,1;161309;191896;216535,9;253423,5;322922,2;342520,1;403658,5;508674,4;565450,4
        Камчатский край;        рубль;20397,7;22086,6;30380,4;39638;49108,7;63274;71934,1;83980,4;101205,1;129240,8;168173,2;200610,1;238404,5;291953,6;319849,2;356413,4;396388,6
        Приморский край;        рубль;11258,5;13043,3;14394;24716,7;29139,9;34628;46632,5;57986,3;74713,1;92504,2;108099,2;130632;160416,7;187556,4;240220,7;281618,3;284789,3
        Хабаровский край;        рубль;14517,1;19803,7;19517,6;27162,8;44171,2;54983,9;70162,9;81613,4;94795,1;116257,5;141994,7;170398;198951,6;205081;262685,8;297609,2;323415
        Амурская область;        рубль;13155,7;15818;15103,7;21935,4;28317,2;42578,3;50449,6;59480,3;72937;88597,1;111116,2;131887,8;156329,6;180572,3;214827,2;273175,8;285642,7
        Магаданская область;        рубль;26438,6;30770;32315,5;50936,4;65704,6;89987,5;121272,5;135180,6;139840,3;157798,9;185017,6;213449,6;258848,1;299403,8;377895;464112,9;501071,2
        Сахалинская область;        рубль;15476,9;19625,3;21428,2;45662,9;61595,8;84769,1;85927,4;116731;172004,4;230298,2;321108,8;559774,1;657783,3;779943,2;977256;1210003,9;1297866,6
        Еврейская автономная область;        рубль;7177;8355,6;7535,3;15344,9;19484,8;24877,5;35766;45196,1;60029,9;77319,2;99578,4;132505;134377,5;142388;178380,6;225065,5;244614
        Чукотский автономный округ;        рубль;30606,1;33540,9;37859,4;49746;65963;123130,9;187368,1;256992,1;238227,2;237134,5;295107,1;396907,1;582270,4;872422;767845,6;883368,7;960056,9
