indicator_ru,region,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00
Денежные доходы (в среднем на душу),    Южный федеральный  округ (с 2010 года),,,,,,,,,,,,,,,12827.80,15113.90,16584.00,18602.90,21884.80
Денежные доходы (в среднем на душу),        Республика Адыгея,273.80,412.60,546.00,605.90,966.90,1385.30,1642.50,2166.90,2548.90,3080.30,3880.10,4707.50,5763.40,7986.30,10467.80,12278.70,14271.59,17025.30,18544.80
Денежные доходы (в среднем на душу),        Республика Калмыкия,234.70,342.60,482.90,478.10,755.10,979.00,1545.50,1763.00,2100.20,2312.10,2425.40,3521.10,4465.80,5651.20,7097.10,7774.00,8829.40,10183.80,11310.80
Денежные доходы (в среднем на душу),        Краснодарский край,356.10,572.80,670.00,687.20,1143.00,1563.40,2124.60,2856.80,3662.20,4378.90,5572.00,7244.30,9778.40,12023.90,13815.30,16892.10,18796.00,21077.20,25777.40
Денежные доходы (в среднем на душу),        Астраханская область,324.30,526.90,664.30,725.20,1221.30,1778.60,2333.30,3058.00,3864.10,4559.40,5683.30,7089.60,8691.40,11120.40,13023.30,14697.20,16032.00,17773.40,19829.30
Денежные доходы (в среднем на душу),        Волгоградская область,327.20,510.40,660.40,647.90,1118.00,1577.60,2163.00,2952.10,3802.90,4648.20,5914.60,7911.50,9453.50,10903.10,12592.90,13774.80,14519.40,16066.40,17792.30
Денежные доходы (в среднем на душу),        Ростовская область,328.70,516.00,643.80,705.50,1211.90,1653.30,2270.60,3025.70,4023.90,5038.10,6394.50,7541.40,9630.40,12160.50,12890.10,14647.10,16010.30,17987.30,20994.70
Денежные доходы (в среднем на душу),    Северо-Кавказский федеральный округ,,,,,,,,,,,,,,,11645.30,13253.40,15050.00,17076.20,19002.50
Денежные доходы (в среднем на душу),        Республика Дагестан,181.70,247.60,337.10,360.90,602.30,861.30,1141.20,1534.00,2125.00,3311.20,4457.30,6260.70,7981.40,10962.00,13805.60,15678.30,18278.10,20647.90,21669.80
Денежные доходы (в среднем на душу),        Республика Ингушетия,123.20,215.50,307.70,334.10,456.00,587.20,908.50,1170.70,1402.20,1757.50,2405.20,3002.40,4005.90,5594.30,6399.80,9630.00,11562.20,12375.50,14193.40
