Средний размер назначенных пенсий,        Республика Саха (Якутия),5165.50,6387.10,10377.30,11311.00,12539.30,13778.70
Средний размер назначенных пенсий,        Камчатский край,5744.80,7192.50,11778.10,12848.00,14244.40,15658.20
Средний размер назначенных пенсий,            Корякский автономный  округ,5316.00,,,,,
Средний размер назначенных пенсий,        Приморский край,3694.70,4599.60,7697.60,8408.00,9325.50,10224.40
Средний размер назначенных пенсий,        Хабаровский край,4291.10,5341.90,8816.50,9604.70,10649.80,11696.90
Средний размер назначенных пенсий,        Амурская область,3705.40,4587.10,7591.20,8266.20,9156.80,10045.90
Средний размер назначенных пенсий,        Магаданская область,5899.70,7363.60,12021.90,13149.20,14571.30,16021.90
Средний размер назначенных пенсий,        Сахалинская область,4950.80,6159.60,10099.40,11049.30,12268.70,13495.20
Средний размер назначенных пенсий,        Еврейская автономная область,3548.50,4387.80,7325.40,7986.10,8859.60,9700.60
Средний размер назначенных пенсий,        Чукотский автономный округ,6892.80,8594.00,13834.90,15211.10,16843.40,18561.80
