indicator_ru,region,2009,2010,2011,2012,2013
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Новосибирская область,7586.00,8509.70,10446.00,11695.50,13233.60
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Омская область,8467.80,9201.50,10869.80,12198.70,13929.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Томская область,11014.80,12137.80,14482.30,17485.00,20766.50
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Дальневосточный федеральный округ,12608.00,14362.70,16893.90,19650.70,21723.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Саха (Якутия),11129.30,12992.00,15712.60,18107.90,21572.90
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Камчатский край,18065.80,21249.50,24617.30,27797.90,31778.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Приморский край,9834.90,10896.40,13386.20,13966.30,15722.20
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Хабаровский край,12852.40,13624.80,15548.60,17962.90,18912.40
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Амурская область,10567.60,12204.50,14921.50,19169.90,20649.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Магаданская область,10966.90,14051.10,15296.70,21531.10,29959.80
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Сахалинская область,27912.50,28952.10,32688.40,34942.50,37807.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Еврейская автономная область,6592.30,8017.80,9263.90,9513.40,11867.90
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Чукотский автономный округ,14964.90,19536.30,19822.70,24603.10,25418.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Волго-Вятский район,8615.00,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Восточно-Сибирский район,8578.50,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Дальневосточный район,12548.70,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Западно-Сибирский район,8548.90,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Поволжский район,8316.80,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Северный район,12973.60,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Северо-Западный район,16190.00,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Северо-Кавказский район,10150.80,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Уральский район,8653.50,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Центрально-Черноземный район,11107.50,,,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Центральный район,12890.30,,,,
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",    Центральный федеральный округ,,,,33609.90,37569.60
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Белгородская область,,17576.60,19372.60,21350.40,22917.70
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Брянская область,,13090.10,14824.10,16893.20,18991.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Владимирская область,,14857.40,16566.40,17946.90,20095.50
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Воронежская область,,15904.50,18318.90,20537.40,22453.70
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Ивановская область,,13439.10,15577.80,15851.00,18086.90
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Калужская область,,18558.40,20902.80,23892.90,25804.20
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Костромская область,,14195.90,15672.00,16867.50,18689.90
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Курская область,,15781.90,17764.60,19571.40,21665.20
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Липецкая область,,16675.90,18596.10,19987.30,21879.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Московская область,,26634.50,29740.10,33050.80,36431.40
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Московская область в старых границах,,,29999.20,33211.20,
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Орловская область,,13956.40,15346.30,17285.50,18946.00
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Рязанская область,,16359.40,18068.70,19795.50,22062.40
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Смоленская область,,16349.20,17528.30,18933.00,20533.50
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Тамбовская область,,13470.30,15198.40,17257.40,18976.40
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Тверская область,,16582.00,20377.10,21525.50,23612.00
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Тульская область,,16387.00,18149.80,20583.30,23093.20
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Ярославская область,,17533.70,19324.70,20892.20,23041.70
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        г.Москва,,38858.70,43730.40,50060.90,56230.40
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        г.Москва в старых границах,,,43800.20,47804.80,
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",    Северо-Западный федеральный округ,,,,30242.50,33325.70
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Республика Карелия,,20916.90,22433.40,25386.60,27260.90
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Республика Коми,,28837.40,31905.50,36667.60,39416.80
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Архангельская область,,23955.10,26843.20,29722.10,32882.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",            Архангельская область (частично),,22055.00,24959.50,27395.60,30373.00
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",            Ненецкий автономный округ,,49450.20,51191.00,59035.90,62491.40
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Вологодская область,,20457.50,23434.60,24554.60,26394.90
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Калининградская область,,19730.60,20543.90,23112.90,25085.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Ленинградская область,,21916.20,24788.70,27819.20,30310.20
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Мурманская область,,31674.70,34521.60,37197.90,39834.20
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Новгородская область,,17096.20,18893.20,21099.30,23119.60
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Псковская область,,14917.20,16131.80,17752.70,19000.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        г.Санкт-Петербург,,28164.40,31084.20,33727.60,37726.40
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",    Южный федеральный  округ (с 2010 года),,,,20631.80,22817.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Республика Адыгея,,13361.00,15121.90,17145.90,18946.40
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Республика Калмыкия,,11149.90,12133.40,13651.50,15302.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Краснодарский край,,17693.40,19856.70,21802.80,24623.80
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Астраханская область,,17883.70,19530.50,21914.50,23841.20
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Волгоградская область,,15744.20,17728.70,19065.70,21187.60
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Ростовская область,,16169.10,18092.30,20231.50,21723.70
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",    Северо-Кавказский федеральный округ,,,,16757.80,18328.20
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Республика Дагестан,,11002.90,13348.50,13347.70,15542.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Республика Ингушетия,,10973.30,11664.80,16359.30,19506.40
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Кабардино-Балкарская Республика,,11735.70,13282.10,14326.30,15210.20
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Карачаево-Черкесская Республика,,11857.00,12545.00,14537.10,16003.30
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Республика Северная Осетия - Алания,,12125.40,12298.40,14296.70,15517.70
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Чеченская Республика,,13799.30,15880.60,15170.60,15252.60
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Ставропольский край,,15369.70,16793.10,18574.30,20202.00
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",    Приволжский федеральный округ,,,,20937.00,22925.80
"Среднемесячная номинальная начисленная заработная плата работников, занятых в сфере экономики региона",        Республика Башкортостан,,17895.30,19530.10,21095.20,22580.10
