indicator_ru,region,2009,2010,2011,2012,2013
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Рязанская область,,7526.80,8065.40,9693.00,12790.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Смоленская область,,7562.60,8387.60,9337.30,11648.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Тамбовская область,,7737.50,7784.10,9375.00,15994.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Тверская область,,8632.20,9622.70,10327.40,13869.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Тульская область,,8747.80,9602.40,11407.50,15577.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Ярославская область,,9449.40,10576.30,13364.70,15305.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        г.Москва,,32127.30,34748.30,40920.80,51812.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,    Северо-Западный федеральный округ,,,,17664.20,22165.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Карелия,,10923.10,12126.70,13882.60,17106.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Коми,,10552.80,13357.90,15190.80,23297.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Архангельская область,,12143.40,13851.50,16308.20,23509.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,            Ненецкий автономный округ,,33863.60,36128.50,44785.10,50220.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Вологодская область,,9328.40,10670.60,11548.40,12762.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Калининградская область,,11092.10,12328.70,13272.60,15848.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Ленинградская область,,12386.10,13610.10,15704.60,20618.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Мурманская область,,16021.70,17810.20,20043.70,25039.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Новгородская область,,9560.80,10495.80,12223.60,14835.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Псковская область,,7497.50,9014.50,9845.30,11862.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        г.Санкт-Петербург,,19160.40,22246.40,26161.60,30980.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,    Южный федеральный  округ (с 2010 года),,,,11706.90,15908.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Адыгея,,8265.20,9010.90,10114.20,12284.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Калмыкия,,6984.20,7495.50,8948.00,10441.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Краснодарский край,,9902.70,10238.10,13100.10,15700.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Астраханская область,,8080.50,9519.00,10786.90,12959.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Волгоградская область,,8526.70,9452.90,10727.90,21335.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Ростовская область,,8282.70,9036.60,11244.50,14519.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,    Северо-Кавказский федеральный округ,,,,9601.50,11678.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Дагестан,,6997.70,7364.70,8127.20,9640.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Ингушетия,,8345.80,8969.00,10768.10,12477.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Кабардино-Балкарская Республика,,7460.80,9072.00,9167.00,11836.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Карачаево-Черкесская Республика,,6368.40,6980.20,7814.90,10217.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Северная Осетия - Алания,,6241.20,7076.70,8858.20,10994.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Чеченская Республика,,8052.40,8981.50,12349.30,13249.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Ставропольский край,,8043.50,8425.30,10677.80,13552.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,    Приволжский федеральный округ,,,,10576.30,14002.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Башкортостан,,8127.50,9234.10,10717.60,14171.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Марий Эл,,6526.70,7533.00,8614.40,10700.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Мордовия,,6768.10,7371.50,8753.10,11099.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Татарстан,,7973.70,9819.90,11779.60,15511.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Удмуртская Республика,,8133.60,8990.90,10020.20,13238.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Чувашская Республика,,7262.10,7889.20,9826.30,12486.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Пермский край,,9019.90,10815.90,13004.90,15887.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Кировская область,,6646.10,7692.80,8535.00,11158.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Нижегородская область,,8883.70,9612.90,10448.20,15427.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Оренбургская область,,6754.80,7682.50,9081.80,11356.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Пензенская область,,6625.90,7310.30,8239.40,13026.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Самарская область,,9169.20,10649.20,12292.50,18974.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Саратовская область,,7736.00,8939.30,11874.70,13184.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Ульяновская область,,7023.90,7883.50,8904.90,11365.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,    Уральский федеральный округ,,,,18724.90,23522.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Курганская область,,6197.40,6536.90,7319.20,10909.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Свердловская область,,10891.80,12927.70,14688.90,18841.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Тюменская область,,21619.60,25782.70,31085.20,35673.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,            Ханты-Мансийский автономный округ-Югра,,22078.50,25571.00,30481.70,35760.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,            Ямало-Ненецкий автономный округ,,31680.50,40538.20,48851.60,53248.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Челябинская область,,8209.70,9479.20,10260.00,15291.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,    Сибирский федеральный округ,,,,11964.80,16069.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Алтай,,6534.10,7340.80,9048.00,12318.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Бурятия,,8174.00,8964.10,12677.70,14815.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Тыва,,8328.70,9210.40,10157.60,13328.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Хакасия,,7759.10,9556.30,11395.10,16508.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Алтайский край,,6295.50,6906.60,8012.40,9899.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Забайкальский край,,7937.70,8983.50,9744.80,12643.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Красноярский край,,10032.40,11117.70,12786.90,17862.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Иркутская область,,8937.20,10037.90,12647.30,18342.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Кемеровская область,,8783.70,10035.20,11819.10,14960.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Новосибирская область,,11679.10,12593.80,14691.90,18741.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Омская область,,9163.50,10374.00,11850.70,16752.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Томская область,,11092.40,12487.50,14009.00,19393.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,    Дальневосточный федеральный округ,,,,17781.30,24099.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Республика Саха (Якутия),,14072.30,15818.90,18401.00,26183.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Камчатский край,,22436.00,24425.50,27482.30,33812.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Приморский край,,9737.30,10772.60,12749.50,18205.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Хабаровский край,,12820.90,14390.10,17718.90,21448.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Амурская область,,9282.00,10262.80,11678.70,15973.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Магаданская область,,16973.10,18638.30,24669.80,32471.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Сахалинская область,,21221.60,21358.80,24715.20,34785.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Еврейская автономная область,,7979.80,10240.90,11717.70,14506.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений физической культуры и спорта,        Чукотский автономный округ,,26163.00,27354.10,32594.00,41568.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,    Центральный федеральный округ,,,,21034.90,25184.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Белгородская область,,8684.20,10446.40,12229.70,13790.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Брянская область,,6283.50,7371.70,8840.50,11264.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Владимирская область,,9905.60,10948.40,12280.90,14821.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Воронежская область,,8223.60,9345.20,10499.60,13386.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Ивановская область,,7276.20,8468.10,9756.10,12299.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Калужская область,,10105.50,11898.20,15408.80,17704.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Костромская область,,7915.70,8498.10,9613.40,11870.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Курская область,,6735.00,8305.10,9373.50,12225.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Липецкая область,,7758.30,9090.60,10489.80,13510.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Московская область,,18871.10,19819.10,23533.30,26309.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Московская область в старых границах,,,20701.10,24440.40,
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Орловская область,,6503.70,6588.40,7550.30,10582.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Рязанская область,,6190.30,7250.40,8650.00,12434.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Смоленская область,,7516.30,8535.20,9535.10,12605.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Тамбовская область,,6577.80,8493.10,10078.20,11675.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Тверская область,,7848.30,8773.10,9893.10,14892.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Тульская область,,10012.90,11454.80,13410.70,16545.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Ярославская область,,9247.10,10158.80,12916.10,14544.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        г.Москва,,35343.30,38065.40,44009.50,48720.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        г.Москва в старых границах,,,37966.00,43971.40,
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,    Северо-Западный федеральный округ,,,,17438.40,21154.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Карелия,,10523.30,11600.10,13078.10,15681.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Коми,,13667.70,16368.00,18435.50,22845.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Архангельская область,,11190.70,13011.80,15046.90,19915.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,            Ненецкий автономный округ,,30400.60,38157.40,39622.30,47820.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Вологодская область,,9356.40,10184.20,11081.30,12796.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Калининградская область,,11845.60,12888.70,14383.40,17475.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Ленинградская область,,13074.40,13893.90,16822.10,18652.40
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Мурманская область,,16606.90,18734.00,22879.30,28863.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Новгородская область,,10637.40,12022.90,13823.30,16301.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Псковская область,,8448.60,9950.20,10970.10,12301.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        г.Санкт-Петербург,,17867.70,20177.00,23424.40,27961.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,    Южный федеральный  округ (с 2010 года),,,,11260.90,13737.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Адыгея,,6626.60,7252.70,8090.00,10930.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Калмыкия,,6462.60,6753.30,8165.30,9742.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Краснодарский край,,8982.60,9983.90,12851.50,14786.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Астраханская область,,8726.00,9504.20,10863.40,14897.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Волгоградская область,,9207.70,10008.70,11135.10,14200.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Ростовская область,,7784.30,8557.70,10142.00,12463.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,    Северо-Кавказский федеральный округ,,,,8297.40,11574.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Дагестан,,6065.30,6291.30,6796.50,8625.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Ингушетия,,8264.70,8254.00,9629.10,10918.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Кабардино-Балкарская Республика,,7406.10,7818.40,7759.60,11124.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Карачаево-Черкесская Республика,,6911.30,7249.60,8506.00,12119.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Северная Осетия - Алания,,6887.50,7234.00,7777.50,11678.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Чеченская Республика,,5478.50,5934.70,6804.50,12211.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Ставропольский край,,8344.60,9106.60,10572.50,14198.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,    Приволжский федеральный округ,,,,10366.50,13527.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Башкортостан,,8165.80,9483.30,10698.10,13781.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных)  учреждений социальной защиты населения,        Республика Марий Эл,,5961.40,7069.10,8549.20,10309.90
